"slope" "geology" "order" "elev" "t_Jan" "t_Jul" "width" "AGR" "FR" "UR"
"8123" 31 "silikat" 3 1117 -3.849 13.657 1.6094379124341 0.276729559748428 0.723270440251572 0
"8582" 10 "silikat" 3 288 -2.385 17.857 1.6094379124341 0.90625 0.09375 0
"8384" 8 "kalk" 2 416 -3.365 14.425 2.07944154167984 0 0.8 0.2
"8379" 14 "kalk" 2 410 -2.698 16.718 1.79175946922805 0.00626959247648903 0.836990595611285 0.156739811912226
"8473" 0.9 "silikat" 6 510 -2.692 17.114 4.79579054559674 0.684375 0.315625 0
"7780" 2.1 "kalk" 8 249 -1.76 18.4 4.34380542185368 0.484276729559748 0.462264150943396 0.0534591194968553
"8045" 18 "kalk" 2 672 -3.866 16.202 1.16315080980568 0.528125 0.3375 0.134375
"8666" 90 "kalk" 2 947 -3.191 15.235 1.6094379124341 0.182389937106918 0.817610062893082 0
"7982" 3 "kalk" 4 233 -1.68 18.5 1.25276296849537 0.605678233438486 0.239747634069401 0.154574132492114
"8679" 1 "kalk" 2 356 -2.388 17.797 1.25276296849537 0.806853582554517 0.109034267912773 0.0841121495327103
"7962" 12.9 "kalk" 4 745 -3.461 16.915 1.94591014905531 0.242990654205607 0.426791277258567 0.330218068535826
"8650" 6 "kalk" 2 422 -2.217 17.57 1.09861228866811 0.833333333333333 0.166666666666667 0
"8231" 7 "kalk" 3 705 -2.8 15.5 2.28238238567653 0.386792452830189 0.528301886792453 0.0849056603773585
"8232" 3 "kalk" 3 700 -2.6 15.7 2.16332302566054 0.365625 0.628125 0.00625
"8240" 2 "kalk" 2 755 -4.1 15.4 1.02961941718116 0.834375 0.003125 0.1625
"7748" 14 "kalk" 3 550 -2.2 16.8 1.98787434815435 0.440625 0.290625 0.26875
"7811" 2.5 "kalk" 5 582 -4.1 15.8 3.60821155104648 0.281733746130031 0.634674922600619 0.0835913312693498
"8218" 236 "kalk" 3 990 -4 14.3 2.02814824729229 0.216300940438871 0.714733542319749 0.0689655172413793
"8526" 17 "kalk" 2 550 -2.7 16.717 1.09861228866811 0.359621451104101 0.205047318611987 0.435331230283912
"8479" 1.11 "silikat" 6 515 -2.498 17.312 4.39444915467244 0.584905660377358 0.245283018867925 0.169811320754717
"8003" 0.6 "kalk" 6 622 -3.64 16.461 3.85014760171006 0.631578947368421 0.247678018575851 0.120743034055728
"8442" 5 "silikat" 2 659 -3.898 15.124 1.6094379124341 0.585669781931464 0.392523364485981 0.0218068535825545
"7923" 1.2 "kalk" 3 150 -1.184 19.85 3.25809653802148 0.158227848101266 0.401898734177215 0.439873417721519
"7865" 1 "kalk" 4 168 0.943 19.146 1.94591014905531 0.245283018867925 0.50314465408805 0.251572327044025
"8583" 7 "silikat" 3 294 -2.385 17.857 1.38629436111989 0.897196261682243 0.102803738317757 0
"8042" 42 "kalk" 3 712 -4.125 15.548 1.6094379124341 0.271875 0.603125 0.125
"7745" 40 "silikat" 3 853 -4 15.2 2.09186406167839 0.528125 0.08125 0.390625
"8022" 18 "kalk" 4 766 -3.664 14.464 2.07944154167984 0.350931677018634 0.649068322981366 0
"7622" 24 "kalk" 4 926 -3.686 15.292 2.56494935746154 0.18125 0.81875 0
"8527" 1.7 "silikat" 6 630 -2 17 4.26267987704132 0.65 0.178125 0.171875
"8481" 1.27 "silikat" 6 582 -3.696 16.684 4.39444915467244 0.432601880877743 0.554858934169279 0.0125391849529781
"8216" 17.13 "kalk" 2 735 -4.4 15.8 1.46787434811231 0.652037617554859 0.163009404388715 0.184952978056426
"8669" 14 "kalk" 3 681 -2.92 15.362 2.07944154167984 0.309375 0.60625 0.084375
"8376" 5 "kalk" 2 310 -2.883 17.5 1.6094379124341 1 0 0
"8665" 23 "silikat" 2 562 -3.483 16.444 1.09861228866811 0.781645569620253 0.0379746835443038 0.180379746835443
"8680" 74 "kalk" 2 587 -2.856 15.49 2.19722457733622 0 1 0
"7903" 11.6 "kalk" 4 607 -3.278 16.137 2.43361335540045 0.461059190031153 0.355140186915888 0.183800623052959
"8694" 42 "kalk" 3 545 -2.41 16.13 2.39789527279837 0 1 0
"8677" 10 "silikat" 2 647 -3.177 16.075 1.79175946922805 0.716510903426791 0.137071651090343 0.146417445482866
"7905" 64.1 "kalk" 4 690 -3.64 15.643 2.01490302054226 0.30503144654088 0.694968553459119 0
"8380" 12 "kalk" 3 387 -2.298 17.27 2.39789527279837 0.0470219435736677 0.658307210031348 0.294670846394984
"7866" 1 "kalk" 8 170 -0.889 19.198 1.38629436111989 0.238244514106583 0.570532915360502 0.191222570532915
"7867" 19 "kalk" 4 179 -0.963 19.105 0.916290731874155 0.240625 0.140625 0.61875
"8026" 6 "silikat" 4 647 -3.448 16.567 2.39789527279837 0.570093457943925 0.0124610591900312 0.417445482866044
"8063" 16 "silikat" 4 1018 -3.668 14.305 2.30258509299405 0.439252336448598 0.560747663551402 0
"8447" 10 "kalk" 2 217 -1.797 18.778 1.38629436111989 0.673913043478261 0.0031055900621118 0.322981366459627
"7961" 12.8 "kalk" 4 725 -3.438 16.914 2.07944154167984 0.288819875776398 0.254658385093168 0.456521739130435
"7658" 17 "silikat" 3 455 -2.8 17.2 2.34851402488245 0.46583850931677 0.322981366459627 0.211180124223602
"8338" 7 "kalk" 3 470 -1.9 17.4 2.87919845729804 0.328125 0.528125 0.14375
"8670" 42 "silikat" 2 368 -2.718 17.401 1.6094379124341 0.905660377358491 0.0943396226415094 0
"8027" 27 "silikat" 4 920 -3.544 14.824 2.56494935746154 0.193146417445483 0.806853582554517 0
"7992" 3 "kalk" 2 186 -1.3 19.2 1.94591014905531 0.811320754716981 0.0283018867924528 0.160377358490566
