"Abramis_br" "Alburnoide" "Alburnus_a" "Aspius_asp" "Barbatula" "Barbus_bar" "Blicca_bjo" "Carassiu_1" "Carassiu_2" "Chondrosto" "Cobitis_el" "Cottus_gob" "Cyprinus_c" "Esox_luciu" "Eudontomyz" "Gobio_gobi" "Gymnocep_1" "Hucho_huch" "Lampetra_p" "Leucaspius" "Leuciscus" "Leuciscu_1" "Lota_lota" "Perca_fluv" "Phoxinus_p" "Proterorhi" "Rhodeus_am" "Romanogo_2" "Rutilus_pi" "Rutilus_ru" "Sabanejewi" "Salmo_trut" "Salmo_tr_1" "Sander_luc" "Scardinius" "Silurus_gl" "Squalius_c" "Telestes_s" "Thymallus" "Tinca_tinc" "Vimba_vimb" "Zingel_str" "Zingel_zin"
"8123" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1408.3 0 0 0 0 0 0 0 0 0 0 0
"8582" 0 0 0 0 9879 0 0 0 0 0 0 0 0 0 0 9126.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 204.2 0 0 0 0 1500.9 0 0 0 0 0 0
"8384" 0 0 0 0 0 0 0 0 0 0 0 928.6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1601.9 0 0 0 0 0 0 0 0 0 0 0
"8379" 0 0 0 0 0 0 0 0 0 0 0 2499.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1476.8 0 0 0 0 0 0 0 0 0 0 0
"8473" 0 0 0 0 0 0 0 0 0 48.3 0 93.6 0 0 24.2 0 0 0 0 0 0 0 0 0 3.3 0 0 0 0 0 0 3.4 0 0 0 0 0 0 18.7 0 0 0 0
"7780" 1.3 0 0 0 74.9 2.5 0 0 0 28.7 0 29.5 0 0.6 0 3.5 0 11.7 0 0 61.5 85.3 0.8 42.3 101.7 3.5 0 0 0 76.2 0 28.3 0.8 1.2 0 0 13.3 0.8 39.9 0 0 0 0
"8045" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9261.7 0 0 0 0 0 0 0 0 0 0 0
"8666" 0 0 0 0 0 0 0 0 0 0 0 826.6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2136 0 0 0 0 0 0 0 0 0 0 0
"7982" 0 0 0 0 2101.8 0 0 0 0 0 0 0 0 0 0 180 0 0 0 0 0 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"8679" 0 0 0 0 2917.2 0 0 150 200 0 0 9728.3 0 0 0 0 40 0 0 0 0 0 0 0 0 0 0 0 0 2323 0 200 0 0 400 0 120 0 0 0 0 0 0
"7962" 0 0 0 0 0 0 0 0 0 0 0 759.4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1839.1 0 0 0 0 0 0 0 0 0 0 0
