"Anguilla_a" "Carassius" "Gasteroste" "Lepomis_gi" "Babka_gymn" "Ponticola" "Neogobius" "Oncorhyn_1" "Pseudorasb" "Salvelinus"
"8123" 0 0 0 0 0 0 0 1 0 1
"8582" 0 0 0 0 0 0 0 1 1 0
"8384" 0 0 0 0 0 0 0 0 0 0
"8379" 0 0 0 0 0 0 0 0 0 0
"8473" 0 0 0 0 0 0 0 1 0 0
"7780" 0 0 0 0 0 1 1 1 1 0
"8045" 0 0 0 0 0 0 0 0 0 0
"8666" 0 0 0 0 0 0 0 1 0 1
"7982" 0 0 0 0 0 0 0 0 0 0
"8679" 0 0 0 0 0 0 0 1 1 0
"7962" 0 0 0 0 0 0 0 0 0 0
"8650" 0 0 0 0 0 0 0 0 0 0
"8231" 0 0 0 0 0 0 0 0 0 0
"8232" 0 0 0 0 0 0 0 1 0 0
"8240" 0 0 0 0 0 0 0 0 0 0
"7748" 0 0 0 0 0 0 0 0 0 0
"7811" 0 0 0 0 0 0 0 1 0 0
"8218" 0 0 0 0 0 0 0 1 0 0
"8526" 0 0 0 0 0 0 0 0 0 0
"8479" 0 0 0 0 0 0 0 1 0 0
"8003" 0 0 0 0 0 0 0 1 0 0
"8442" 0 0 0 0 0 0 0 0 0 0
"7923" 0 0 1 0 0 0 1 0 0 0
"7865" 0 0 1 0 0 0 0 0 0 0
"8583" 0 0 0 0 0 0 0 1 1 0
"8042" 0 0 0 0 0 0 0 0 0 0
"7745" 0 0 0 0 0 0 0 1 0 0
"8022" 0 0 0 0 0 0 0 0 0 0
"7622" 0 0 0 0 0 0 0 1 0 0
"8527" 0 0 0 0 0 0 0 1 0 0
"8481" 0 0 0 0 0 0 0 1 0 0
"8216" 0 0 0 0 0 0 0 0 0 1
"8669" 0 0 0 0 0 0 0 0 0 0
"8376" 0 0 0 0 0 0 0 0 0 0
"8665" 0 0 0 0 0 0 0 0 0 1
"8680" 0 0 0 0 0 0 0 0 0 0
"7903" 0 0 0 0 0 0 0 0 0 0
"8694" 0 0 0 0 0 0 0 0 0 0
"8677" 0 0 0 0 0 0 0 0 0 0
"7905" 0 0 0 0 0 0 0 1 0 0
"8380" 0 0 0 0 0 0 0 1 0 0
"7866" 0 0 0 0 0 0 0 0 0 0
"7867" 0 0 0 0 0 0 0 0 0 0
"8026" 0 0 0 0 0 0 0 1 0 0
"8063" 0 0 0 0 0 0 0 0 0 0
"8447" 0 0 0 0 0 0 0 0 0 0
"7961" 0 0 0 0 0 0 0 1 0 0
"7658" 0 0 0 0 0 0 0 0 0 0
"8338" 0 0 0 0 0 0 0 1 0 0
"8670" 0 0 0 0 0 0 0 0 0 0
"8027" 0 0 0 0 0 0 0 0 0 0
"7992" 0 0 0 0 0 0 0 0 1 0
"7993" 0 0 0 0 0 0 0 0 0 0
"8377" 0 0 0 0 0 0 0 0 0 0
"8293" 0 0 0 0 0 0 0 0 0 0
"8294" 0 0 0 0 0 0 0 0 0 0
"9696" 0 0 0 0 0 0 0 1 0 0
"7660" 0 0 1 0 0 0 1 0 1 0
"7963" 0 0 0 0 0 0 0 1 0 0
"7964" 0 0 0 0 0 0 0 0 0 0
"8446" 0 0 0 0 0 0 0 0 0 0
"8146" 0 0 0 0 0 0 0 0 0 0
"8147" 0 0 0 0 0 0 0 0 0 0
"8430" 0 0 0 0 0 0 0 0 0 0
"7778" 0 0 0 0 0 0 0 0 0 0
"8374" 0 0 0 0 0 0 0 1 0 0
"8672" 0 0 0 0 0 0 0 0 0 0
"8040" 0 0 0 0 0 0 0 0 0 0
"7753" 0 0 0 0 0 0 0 0 0 0
"7869" 0 0 0 0 0 0 0 0 1 0
"8514" 0 0 1 0 0 0 0 1 0 0
"8556" 0 0 0 0 0 0 0 1 0 0
