"LCBD_repl" "LCBD_rich" "LCBD_D"
"CHE-373605" 0.000644228481497581 0.00220696823075738 0.00147154283913714
"CHE-362099" 0.00163909801127201 0.00146553903753374 0.00162997452046405
"CHE-373534" 0.00230527693003344 0.00133742008088809 0.00179498817145248
"CHE-297571" 0.000866768142775887 0.00228066087514477 0.00172533490011886
"CHE-282069" 0.00163909801127201 0.00146553903753374 0.00162997452046405
"CHE-274427" 0.000866768142775887 0.00228066087514477 0.00172533490011886
"CHE-373214" 0.00171140543717714 0.00177749911166987 0.00168329575533372
"CHE-281186" 0.000866768142775887 0.00228066087514477 0.00172533490011886
"CHE-295159" 0.00235036120835107 0.00120436254606731 0.00175627321150952
"CHE-361800" 0.00142118324593454 0.00120436254606731 0.00138084663554151
"CHE-281173" 0.000866768142775887 0.00228066087514477 0.00172533490011886
"CHE-364587" 0.000644939301635678 0.00133742008088809 0.00106879178396362
"CHE-360340" 0.00268123620632593 0.00120436254606731 0.00186020462564074
"CHE-274595" 0.00163909801127201 0.00146553903753374 0.00162997452046405
"CHE-389580" 0.00264960489736862 0.00146553903753374 0.00197276315257964
"CHE-282775" 0.00142118324593454 0.00120436254606731 0.00138084663554151
"CHE-297388" 0.0020544008248865 0.00120436254606731 0.00164524531389954
"CHE-297899" 0.00142118324593454 0.00120436254606731 0.00138084663554151
"CHE-274327" 0.000644939301635678 0.00133742008088809 0.00106879178396362
"CHE-282626" 0.00167900604630503 0.00133742008088809 0.00149406476317372
"CHE-297365" 0.000195080380538319 0.00177749911166988 0.00113331735339652
"CHE-274206" 0.000644939301635677 0.00133742008088809 0.00106879178396362
"CHE-280936" 0.000644939301635677 0.00133742008088809 0.00106879178396362
"CHE-295852" 0.00242312837181906 0.00120436254606731 0.00178273860986855
"CHE-360317" 0.00142118324593454 0.00120436254606731 0.00138084663554151
"CHE-297236" 0.000644939301635677 0.00133742008088809 0.00106879178396362
"CHE-281913" 0.00163909801127201 0.00146553903753374 0.00162997452046405
"CHE-371131" 0.00284779055359515 0.00120436254606731 0.00183196327238006
"CHE-274168" 0.000644939301635678 0.00133742008088809 0.00106879178396362
"CHE-274162" 0.000644939301635678 0.00133742008088809 0.00106879178396362
"CHE-372384" 0.00264960489736863 0.00146553903753374 0.00197276315257964
"CHE-282622" 0.00167900604630503 0.00133742008088809 0.00149406476317372
"CHE-281762" 0.00142118324593454 0.00120436254606731 0.0013808466355415
"CHE-275604" 0.000866768142775887 0.00228066087514477 0.00172533490011886
"CHE-282284" 0.000644939301635678 0.00133742008088809 0.00106879178396362
"CHE-280745" 0.00142118324593454 0.00120436254606731 0.0013808466355415
"CHE-282333" 0.000644939301635677 0.00133742008088809 0.00106879178396362
"CHE-274025" 0.000644939301635678 0.00133742008088809 0.00106879178396362
"CHE-364448" 0.00232264417196002 0.00120436254606731 0.00170263011856864
"CHE-302423" 0.000866768142775887 0.00228066087514477 0.00172533490011886
"CHE-362413" 0.000866768142775887 0.00228066087514477 0.00172533490011886
"CHE-372352" 0.00303693711248324 0.00120436254606731 0.00191153188298295
"CHE-361711" 0.000394673359882207 0.00220696823075738 0.00140834188794335
"CHE-292556" 0.00163909801127201 0.00146553903753374 0.00162997452046405
"CHE-292142" 0.00264960489736863 0.00146553903753374 0.00197276315257964
"CHE-275184" 0.000644939301635678 0.00133742008088809 0.00106879178396361
"CHE-274908" 0.00217023296461741 0.00133742008088809 0.00158060612365368
"CHE-275022" 0.000644939301635678 0.00133742008088809 0.00106879178396361
"CHE-275419" 0.00265968084872712 0.00120436254606731 0.00176388888996801
"CHE-295562" 0.000195080380538319 0.00177749911166986 0.00113331735339652
"CHE-296774" 0.000195080380538319 0.00177749911166986 0.00113331735339652
"CHE-370908" 0.00225151201751346 0.00133742008088809 0.00159635053895126
"CHE-276381" 0.00264960489736863 0.00146553903753374 0.00197276315257964
"CHE-274818" 0.00167729172707327 0.00120436254606731 0.00139546117614687
"CHE-275591" 0.00136144701402973 0.00146553903753374 0.00156415943594127
"CHE-367416" 0.00139800981895706 0.00133742008088809 0.00139657687722768
"CHE-360207" 0.00345993222750584 0.00146553903753375 0.00221752046233342
"CHE-281617" 0.000644939301635678 0.00133742008088809 0.00106879178396362
"CHE-362287" 0.00142118324593453 0.00120436254606731 0.0013808466355415
"CHE-302238" 0.00163909801127201 0.00146553903753375 0.00162997452046405
"CHE-362705" 0.00167900604630503 0.00133742008088809 0.00149406476317372
"CHE-364227" 0.00232264417196003 0.00120436254606731 0.00170263011856864
"CHE-280500" 0.000644939301635679 0.00133742008088809 0.00106879178396362
"CHE-276104" 0.00136144701402973 0.00146553903753375 0.00156415943594127
"CHE-388261" 0.0022039415449545 0.00133742008088809 0.00172961287534571
"CHE-302061" 0.00267962744174878 0.00120436254606731 0.00190017981068374
"CHE-301946" 0.000866768142775887 0.00228066087514477 0.00172533490011886
"CHE-364127" 0.000817743417792635 0.00177749911166987 0.00133171959185301
"CHE-362928" 0.000817743417792635 0.00177749911166987 0.00133171959185301
"CHE-304862" 0.000866768142775887 0.00228066087514477 0.00172533490011886
"CHE-296647" 0.00163909801127201 0.00146553903753375 0.00162997452046405
"CHE-291906" 0.00142118324593454 0.00120436254606731 0.0013808466355415
"CHE-361686" 0.000236428592552886 0.00220696823075739 0.00135516228117151
"CHE-296613" 0.00019508038053832 0.00177749911166987 0.00113331735339653
"CHE-301803" 0.00142487977754041 0.00133742008088809 0.00139520485184317
"CHE-273832" 0.000644939301635679 0.00133742008088809 0.00106879178396362
"CHE-276738" 0.00128532795994193 0.00177749911166987 0.00148185231022851
"CHE-368420" 0.00163909801127201 0.00146553903753375 0.00162997452046405
"CHE-304624" 0.000866768142775887 0.00228066087514477 0.00172533490011886
"CHE-362961" 0.00213453720296309 0.00146553903753375 0.00182721068198141
"CHE-369346" 0.000866768142775887 0.00228066087514477 0.00172533490011886
"CHE-301800" 0.00163909801127201 0.00146553903753375 0.00162997452046405
"CHE-275544" 0.00163909801127201 0.00146553903753375 0.00162997452046405
"CHE-280349" 0.000243798800460367 0.00220696823075739 0.00135788856214479
"CHE-276910" 0.000239860400200126 0.00220696823075739 0.00124627285441137
"CHE-360062" 0.00181311081724161 0.00177749911166987 0.00162033168644423
"CHE-301574" 0.0020544008248865 0.00120436254606731 0.00164524531389954
"CHE-308158" 0.000866768142775888 0.00228066087514477 0.00172533490011886
"CHE-367165" 0.00139800981895706 0.00133742008088809 0.00139657687722768
"CHE-363812" 0.000747638375441392 0.00177749911166987 0.00131530933728229
"CHE-294693" 0.00019508038053832 0.00177749911166987 0.00113331735339653
"CHE-277989" 0.00284779055359515 0.00120436254606731 0.00183196327238006
"CHE-300540" 0.00306555111964358 0.00146553903753375 0.00209241515930419
"CHE-363228" 0.00321353458433851 0.00228066087514477 0.00258239541626558
"CHE-361212" 0.000485411662997157 0.00177749911166987 0.00122984780483128
"CHE-360678" 0.00231360030536869 0.00120436254606731 0.00164645803415497
"CHE-273389" 5.68019214260991e-05 0.00260791612092931 0.00147886747111401
"CHE-360474" 0.00294577544183868 0.00228066087514477 0.00245735706688094
"CHE-359946" 0.00294577544183868 0.00228066087514477 0.00245735706688094
"CHE-291540" 0.00064493930163568 0.00133742008088809 0.00106879178396362
"CHE-281438" 0.00064493930163568 0.00133742008088809 0.00106879178396362
"CHE-189928" 0.000866768142775888 0.00228066087514477 0.00172533490011886
"CHE-301338" 0.00019508038053832 0.00177749911166987 0.00113331735339653
"CHE-370341" 1.60597854872483e-05 0.00292552005922434 0.00162221482622049
"CHE-294542" 0.00142118324593454 0.00120436254606731 0.0013808466355415
"CHE-280152" 0.00213453720296309 0.00146553903753375 0.00182721068198141
"CHE-382167" 0.00167729172707327 0.00120436254606731 0.00139546117614687
"CHE-280141" 0.00064493930163568 0.00133742008088809 0.00106879178396362
"CHE-307947" 0.000866768142775888 0.00228066087514477 0.00172533490011886
"CHE-304400" 0.00212499835400349 0.00133742008088809 0.00173836771758522
"CHE-312504" 0.00264960489736863 0.00146553903753375 0.00197276315257965
"CHE-367128" 0.00139800981895706 0.00133742008088809 0.00139657687722768
"CHE-280057" 0.000485411662997156 0.00177749911166987 0.00122984780483128
"CHE-105002" 0.000866768142775888 0.00228066087514477 0.00172533490011886
"CHE-293208" 0.00142487977754041 0.00133742008088809 0.00139520485184317
"CHE-367036" 0.000539126094005202 0.00177749911166987 0.00125157840390381
"CHE-359673" 0.00294577544183868 0.00228066087514477 0.00245735706688095
"CHE-273141" 0.00167729172707327 0.00120436254606731 0.00139546117614687
"CHE-291143" 0.00064493930163568 0.00133742008088809 0.00106879178396362
"CHE-363675" 0.0011899985663026 0.00228066087514477 0.0021120776457063
"CHE-104820" 0.000866768142775887 0.00228066087514477 0.00172533490011886
"CHE-277970" 0.00412573727009175 0.00146553903753375 0.00250604376019641
"CHE-307733" 0.00143945633217932 0.00120436254606731 0.00139822892085803
"CHE-105278" 0.000866768142775887 0.00228066087514477 0.00172533490011886
"CHE-295396" 0.00064493930163568 0.00133742008088809 0.00106879178396362
"CHE-371726" 0.000320463512326402 0.00260791612092931 0.00154541500106547
"CHE-189562" 0.000866768142775887 0.00228066087514477 0.00172533490011886
"CHE-301270" 0.00142118324593454 0.00120436254606731 0.00138084663554151
"CHE-320742" 0.00268822591899788 0.00120436254606731 0.00186540647744261
"CHE-363560" 0.0025616602984021 0.00120436254606731 0.00171878452027893
"CHE-366692" 0.000442560460837052 0.00220696823075739 0.00142109941451405
"CHE-294403" 0.00167729172707327 0.00120436254606731 0.00139546117614688
"CHE-272732" 0.00118999856630261 0.00228066087514477 0.0021120776457063
"CHE-293099" 0.00173710463928118 0.00133742008088809 0.00140947551070394
"CHE-104689" 0.000866768142775887 0.00228066087514477 0.00172533490011886
"CHE-290863" 0.00064493930163568 0.00133742008088809 0.00106879178396362
"CHE-383878" 0.00163909801127201 0.00146553903753375 0.00162997452046405
"CHE-294191" 0.000747638375441391 0.00177749911166987 0.00131530933728229
"CHE-295278" 8.05325831690638e-05 0.00220696823075739 0.00131894889025964
"CHE-307411" 0.00019508038053832 0.00177749911166987 0.00113331735339653
"CHE-359241" 0.00259064280290559 0.00146553903753375 0.00194417496917032
"CHE-290410" 0.00064493930163568 0.00133742008088809 0.00106879178396362
"CHE-359520" 0.00231360030536869 0.00120436254606731 0.00164645803415497
"CHE-320605" 0.00268822591899787 0.00120436254606731 0.00186540647744261
"CHE-381774" 0.00125097064952905 0.00177749911166987 0.00148136351075648
"CHE-300717" 0.000493374982746756 0.00260791612092931 0.00135655969110435
"CHE-306944" 0.000866768142775887 0.00228066087514477 0.00172533490011886
"CHE-320450" 0.000817743417792636 0.00177749911166987 0.00133171959185301
"CHE-366681" 0.0032848325721129 0.00146553903753375 0.00215189704083735
"CHE-271663" 0.00064493930163568 0.00133742008088809 0.00106879178396362
"CHE-101543" 0.000866768142775887 0.00228066087514477 0.00172533490011886
"CHE-104514" 0.000866768142775887 0.00228066087514477 0.00172533490011886
"CHE-292968" 0.00173710463928118 0.00133742008088809 0.00140947551070394
"CHE-294002" 0.00064493930163568 0.00133742008088809 0.00106879178396362
"CHE-290712" 0.00019508038053832 0.00177749911166987 0.00113331735339653
"CHE-64333" 0.000866768142775887 0.00228066087514477 0.00172533490011886
"CHE-304038" 0.00142487977754041 0.00133742008088809 0.00139520485184317
"CHE-51306" 0.000866768142775887 0.00228066087514477 0.00172533490011886
"CHE-324049" 0.00163909801127201 0.00146553903753375 0.00162997452046405
"CHE-376350" 0.000620906803646931 0.00177749911166987 0.00127233207770223
"CHE-290471" 0.00064493930163568 0.00133742008088809 0.00106879178396362
"CHE-320080" 0.00163909801127201 0.00146553903753375 0.00162997452046405
"CHE-101416" 0.000866768142775888 0.00228066087514477 0.00172533490011886
"CHE-307156" 0.00019508038053832 0.00177749911166987 0.00113331735339653
"CHE-322293" 0.00064493930163568 0.00133742008088809 0.00106879178396362
"CHE-103657" 0.000866768142775888 0.00228066087514477 0.00172533490011886
"CHE-100450" 0.000866768142775888 0.00228066087514477 0.00172533490011886
"CHE-363462" 0.000644228481497582 0.00220696823075739 0.00147154283913714
"CHE-363457" 0.00255635512629744 0.00133742008088809 0.00183626970736902
"CHE-272553" 0.00189956378979148 0.00133742008088809 0.00148991389422682
"CHE-357709" 0.000539126094005201 0.00177749911166987 0.00125157840390381
"CHE-306746" 0.00019508038053832 0.00177749911166987 0.00113331735339653
"CHE-323725" 0.00163909801127201 0.00146553903753375 0.00162997452046405
"CHE-358578" 0.00142118324593454 0.00120436254606731 0.00138084663554151
"CHE-385231" 0.00142118324593454 0.00120436254606731 0.00138084663554151
"CHE-323882" 0.00163909801127201 0.00146553903753375 0.00162997452046405
"CHE-322236" 0.000485411662997157 0.00177749911166987 0.00122984780483128
"CHE-272511" 0.00189956378979148 0.00133742008088809 0.00148991389422682
"CHE-59276" 0.000866768142775887 0.00228066087514477 0.00172533490011885
"CHE-321417" 0.000243798800460368 0.0022069682307574 0.0013578885621448
"CHE-187540" 0.00163909801127201 0.00146553903753375 0.00162997452046405
