"Geology" "Gem_typ" "LUses" "order" "elev" "Cond_Gl" "Dischrg" "Mn_Ar_T" "AGR" "FR" "UR"
"CHE-373605" "Sediments" "Straight" "Forest_NoConif" 3 783 1.9 0.00041 36.43837 0.2375 0.7625 0
"CHE-362099" "Shales" "Straight" "Forest_NoConif" 2 568 1.045455 6e-05 46.0168 0.495297805642633 0.379310344827586 0.125391849529781
"CHE-373534" "Sediments" "Sinuous" "Forest_NoConif" 3 737 2.927405 0.00053 36.43837 0.886792452830189 0.059748427672956 0.0534591194968553
"CHE-297571" "Siliceous" "Straight" "Forest_NoConif" 2 998 1 1e-05 58.92685 0 1 0
"CHE-282069" "Volcanic" "Straight" "Forest_NoConif" 2 718 1 0.00016 65.20266 0.146875 0.853125 0
"CHE-274427" "Calcareous" "Straight" "Forest_NoConif" 2 618 5 3e-05 88.76972 0.0155763239875389 0.984423676012461 0
"CHE-373214" "Sandstones" "Straight" "Forest_NoConif" 4 666 1.01015 0.00106 35.90138 0.629283489096573 0.370716510903427 0
"CHE-281186" "Siliceous" "Straight" "Forest_NoConif" 2 821 1 0.00011 72.16158 0 1 0
"CHE-295159" "Sandstones" "Straight" "Forest_NoConif" 2 771 1 0.00027 72.0695 0.570093457943925 0.429906542056075 0
"CHE-361800" "Sediments" "Straight" "Forest_NoConif" 2 580 1.641975 0.00023 33.20346 0.127329192546584 0.872670807453416 0
"CHE-281173" "Siliceous" "Sinuous" "Pasture" 3 706 1 0.00033 69.36329 0 0.74294670846395 0.25705329153605
"CHE-364587" "Shales" "Straight" "Forest_NoConif" 3 682 1.16936 0.00016 42.96382 0 1 0
"CHE-360340" "Shales" "Straight" "Forest_NoConif" 2 654 1.471175 8e-05 33.20346 0.169278996865204 0.830721003134796 0
"CHE-274595" "Sediments" "Straight" "Pasture" 2 577 2.684785 0.00032 80.37308 0.638629283489097 0.361370716510903 0
"CHE-389580" "Sediments" "Straight" "Pasture" 4 891 2 0.00073 39.81083 0.726708074534162 0.273291925465839 0
"CHE-282775" "Sediments" "Straight" "Pasture" 2 569 2.44202 0.00012 70.00173 0.917721518987342 0.0822784810126582 0
"CHE-297388" "Shales" "Sinuous" "Pasture" 4 772 4 0.0014 68.82765 0.123028391167192 0.876971608832808 0
"CHE-297899" "Shales" "Straight" "Forest_NoConif" 3 949 4 0 45.62271 0 1 0
"CHE-274327" "Calcareous" "Sinuous" "Forest_NoConif" 3 540 4 0.00096 80.59931 0.435736677115987 0.564263322884012 0
"CHE-282626" "Calcareous" "Straight" "Pasture" 3 541 4.17535 0.00074 79.50336 0.477987421383648 0.522012578616352 0
"CHE-297365" "Shales" "Sinuous" "Pasture" 4 747 4 0.00144 68.5959 0.134375 0.865625 0
"CHE-274206" "Calcareous" "Straight" "Forest_Plantation" 4 575 4 0.00011 62.03654 0.234177215189873 0.765822784810127 0
"CHE-280936" "Sandstones" "Straight" "Shrubs" 3 614 1 0.00069 69.21024 0 1 0
"CHE-295852" "Sandstones" "Straight" "Forest_NoConif" 3 880 1 0 63.81794 0 1 0
"CHE-360317" "Sediments" "Straight" "Urban" 3 585 2.369565 0.00017 33.20346 0.669781931464174 0.221183800623053 0.109034267912773
"CHE-297236" "Calcareous" "Straight" "Forest_NoConif" 4 771 4.77102 0.00174 68.91737 0.105919003115265 0.894080996884735 0
"CHE-281913" "Calcareous" "Straight" "Urban" 3 557 4 0.00042 67.70818 0.501557632398754 0.498442367601246 0
"CHE-371131" "Shales" "Straight" "Agriculture" 2 642 4 0.00023 49.21629 1 0 0
"CHE-274168" "Calcareous" "Straight" "Forest_NoConif" 4 547 4 1e-05 68.57028 0.199376947040498 0.800623052959502 0
"CHE-274162" "Calcareous" "Straight" "HumidAreas" 4 493 4 0.00133 77.12759 0.323899371069182 0.676100628930818 0
"CHE-372384" "Sediments" "Straight" "Forest_NoConif" 4 600 1.682925 0 35.90138 0.452830188679245 0.547169811320755 0
"CHE-282622" "Sediments" "Straight" "Pasture" 3 525 2.89516 8e-04 79.23367 0.874608150470219 0.122257053291536 0.00313479623824451
"CHE-281762" "Sediments" "Straight" "Forest_NoConif" 3 511 1.84762 0.00061 67.2099 0.29874213836478 0.70125786163522 0
"CHE-275604" "Shales" "Straight" "Pasture" 2 515 1 0.00021 77.18343 0.090625 0.909375 0
"CHE-282284" "Sediments" "Straight" "Agriculture" 3 519 2 1e-05 72.69375 0.504702194357367 0.495297805642633 0
"CHE-280745" "Sediments" "Straight" "Pasture" 4 555 1.9901 0.00103 69.72108 0.0849056603773585 0.707547169811321 0.207547169811321
"CHE-282333" "Calcareous" "Straight" "Pasture" 2 572 4 0.00021 71.24788 0.370716510903427 0.629283489096573 0
"CHE-274025" "Calcareous" "Sinuous" "Forest_NoConif" 4 487 5 1e-05 65.0535 0 1 0
"CHE-364448" "Sediments" "Straight" "Forest_NoConif" 2 607 1.831685 0.00017 42.47646 0.512422360248447 0.335403726708075 0.152173913043478
"CHE-302423" "Sediments" "Straight" "Pasture" 3 1039 2 1e-05 60.00505 0.348909657320872 0.651090342679128 0
"CHE-362413" "Calcareous" "Straight" "HumidAreas" 4 554 1.499993214265 0.00117 30.58152 0.512578616352201 0.487421383647799 0
"CHE-372352" "Sediments" "Straight" "Urban" 5 581 1.51434 0.00203 35.90138 0.548895899053628 0.0315457413249211 0.419558359621451
"CHE-361711" "Sediments" "Straight" "Agriculture" 3 527 2.55537 0.00086 55.39346 0.4 0.309375 0.290625
"CHE-292556" "Shales" "Straight" "Forest_Conif" 2 983 4 2e-05 65.78943 0.322884012539185 0.677115987460815 0
"CHE-292142" "Sandstones" "Straight" "Forest_NoConif" 2 886 1 6e-04 76.46898 0 1 0
