"index_us0.005" "index_us0.01" "index_us0.05" "index_us0.1" "index_us0.15" "index_us0.2" "index_us0.25" "index_us0.3" "index_us0.35" "index_us0.4" "index_us0.45" "index_us0.5" "index_us0.55" "index_us0.6" "index_us0.65" "index_us0.7" "index_us0.75" "index_us0.8" "index_us0.85" "index_us0.9" "index_us0.95" "index_us0.99" "index_ls0.005" "index_ls0.01" "index_ls0.05" "index_ls0.1" "index_ls0.15" "index_ls0.2" "index_ls0.25" "index_ls0.3" "index_ls0.35" "index_ls0.4" "index_ls0.45" "index_ls0.5" "index_ls0.55" "index_ls0.6" "index_ls0.65" "index_ls0.7" "index_ls0.75" "index_ls0.8" "index_ls0.85" "index_ls0.9" "index_ls0.95" "index_ls0.99" "index_ua0.005" "index_ua0.01" "index_ua0.05" "index_ua0.1" "index_ua0.15" "index_ua0.2" "index_ua0.25" "index_ua0.3" "index_ua0.35" "index_ua0.4" "index_ua0.45" "index_ua0.5" "index_ua0.55" "index_ua0.6" "index_ua0.65" "index_ua0.7" "index_ua0.75" "index_ua0.8" "index_ua0.85" "index_ua0.9" "index_ua0.95" "index_ua0.99" "index_la0.005" "index_la0.01" "index_la0.05" "index_la0.1" "index_la0.15" "index_la0.2" "index_la0.25" "index_la0.3" "index_la0.35" "index_la0.4" "index_la0.45" "index_la0.5" "index_la0.55" "index_la0.6" "index_la0.65" "index_la0.7" "index_la0.75" "index_la0.8" "index_la0.85" "index_la0.9" "index_la0.95" "index_la0.99" "index_dci_s" "index_dci_a"
"CHE-373605" 0.000364173057372637 0.000403308707451617 0.000567645769465581 0.000701655567910313 0.000818070408561828 0.000932917571498201 0.00105599703617996 0.00119649664524992 0.00136482133273548 0.00157383948734492 0.00184021080117901 0.00218607654973975 0.00264133002040965 0.00324670502802084 0.00405797880044017 0.00515167402472108 0.0066327658968449 0.00864506025147357 0.011385117706739 0.015120868376084 0.0202164073154264 0.0255979109909324 0.000238151596797083 0.000269686156891385 0.00041554419378955 0.000545170912672457 0.000662146288437501 0.000778953408393459 0.000903357623562736 0.00104272452920767 0.00120554862749092 0.0014026208823436 0.00164840200450269 0.00196290992155179 0.00237442422239857 0.00292338312372922 0.00366796890976891 0.00469204386808684 0.00611631698843289 0.00811390252539419 0.0109317882419613 0.014920179923432 0.0205722490850772 0.0267467984717777 0.000230755956702266 0.000233119232841928 0.000248368361825785 0.00026574591274341 0.000284009132270661 0.000304680735525739 0.000329192895872703 0.000359117764939427 0.000396250117449806 0.000442656446605484 0.000500713972482719 0.000573146532670024 0.000663059913885558 0.000773977714450749 0.000909878263684498 0.00107523288654461 0.00127504569593268 0.0015148950474623 0.00180097677173661 0.00214014929396491 0.00253998075429816 0.00290908936486495 0.000151677841686028 0.000159197984839539 0.000207278750764845 0.000260216678759712 0.000312340394310135 0.000366164741770453 0.000423299066863569 0.000485147948598583 0.00055312555367841 0.000628752987167956 0.000713715736904769 0.000809904655416983 0.00091944933380676 0.00104474774408128 0.00118849404726299 0.00135370558546064 0.00154374965164286 0.00176237041279251 0.00201371624532397 0.00230236767838894 0.0026333661085215 0.00293235486948335 0.0271649016167941 0.0330035398450458
"CHE-362099" 0.000227719093192025 0.000227808409575557 0.000228596834122256 0.000229697347035557 0.000230895882045076 0.000232181254824761 0.000233547755430272 0.000234991902880029 0.000236511373738461 0.000238104533877831 0.000239770198476758 0.000241507495328198 0.000243315780882855 0.000245194585679999 0.000247143577316506 0.000249162534516514 0.000251251328661839 0.000253409910751078 0.000255638302839542 0.000257936593950868 0.000260304941538623 0.000262250215439052 0.000838225103816202 0.000838287445014348 0.0008388562948767 0.000839753983578255 0.000840862626950431 0.000842183422580547 0.000843717049931804 0.000845464022107412 0.000847424786179692 0.000849599762577319 0.000851989363548102 0.00085459400287861 0.000857414101464532 0.000860450090742086 0.000863702414978327 0.000867171532995604 0.000870857919751019 0.000874762068200677 0.000878884492039117 0.000883225730263904 0.000887786355184073 0.000891593227933572 0.000227718810786833 0.000227807278619472 0.000228568470624859 0.000229583683541858 0.00023063977484944 0.0002317253683114 0.000232834555197402 0.000233963643970173 0.000235110087090728 0.000236272012021818 0.000237447980880994 0.000238636853585874 0.000239837703810874 0.000241049764342976 0.000242272389928687 0.000243505031093025 0.000244747215149055 0.000245998532102605 0.000247258624011053 0.000248527176873926 0.000249803914468094 0.000250831033213316 0.00083822405042414 0.000838283227040384 0.000838750581825232 0.000839330628889608 0.000839909326609667 0.000840487580097722 0.00084106578786652 0.000841644177470383 0.0008422228996277 0.000842802064711648 0.000843381759712073 0.000843962057122543 0.0008445430200172 0.000845124705151845 0.000845707164967793 0.000846290448958166 0.000846874604659254 0.000847459678434642 0.000848045716178359 0.00084863276405537 0.000849220869416482 0.000849692148439422 0.000262743581143723 0.00221590108358319
"CHE-373534" 0.000236779346959913 0.000244661163224948 0.000307912755779835 0.00039906662956037 0.000509581464564983 0.000644869764476789 0.000811118942502927 0.00101583965337733 0.00126845959924844 0.00158110497500591 0.00196964564237889 0.00245508669360221 0.00306541023294536 0.00383800166287689 0.00482283522946818 0.00608664610956752 0.0077183835991769 0.0098363252533653 0.0125973390740611 0.0162089148465814 0.0209447524258903 0.0257813154116724 0.000731398114225011 0.000736858448534634 0.000784712647109922 0.000857637371546659 0.000947539136974867 0.00105788227968224 0.00119321364630147 0.00135945584392372 0.00156443905095184 0.00181871467459914 0.00213674218622899 0.0025385829033383 0.00305228305234736 0.0037171885838992 0.00458850962575297 0.00574354661142273 0.00729010670944318 0.00937778234418171 0.0122129381228937 0.0160784639862809 0.021359607618173 0.0269483595209472 0.00022803466992223 0.000228562670240667 0.000234654142220725 0.000246031375992225 0.000262057894041177 0.000283708846060532 0.000312137916268159 0.000348633810458866 0.000394615580856152 0.000451636931477246 0.00052139326329159 0.000605729678469047 0.000706649355997112 0.00082632209879006 0.000967092994951015 0.00113149119249651 0.00132223881045872 0.00154226001942898 0.00179469032926242 0.00208288612443486 0.00241043449042083 0.00270337105727684 0.000726556204043836 0.00072783650775644 0.000741816894720389 0.000764885104060519 0.000793072410232219 0.000826431317924112 0.000865389758575065 0.00091058135106348 0.000962793689755323 0.00102294834480545 0.0010920925765339 0.0011713962628141 0.00126215147000645 0.00136577351191155 0.00148380292831982 0.00161790808583871 0.00176988823975553 0.0019416769689827 0.00213534593839953 0.00235310896945535 0.00259732641901084 0.00281343014378723 0.0271649016167941 0.0330035398450458
"CHE-297571" 0.000272674901857583 0.000290574133505835 0.000383518068773278 0.000485945393454771 0.000595753543941262 0.00071784957246396 0.000854393055530036 0.00100677161970565 0.00117607500496017 0.00136326219653713 0.00156923595709907 0.00179488328645655 0.00204110232286142 0.002308824528454 0.00259903705453014 0.00291280917014539 0.00325132747716264 0.00361594827131666 0.00400828649798419 0.00443039550764367 0.00488520868175458 0.00527589990179393 0.000251758859101052 0.000264758521854508 0.000331939534917407 0.000403339745867828 0.000476825796464339 0.000555943406695521 0.000642323230710661 0.000737069348804603 0.000841091753312175 0.000955223571231392 0.00108027357043185 0.00121705505938901 0.0013664056925196 0.00152920463841519 0.0017063910308582 0.00189898736835433 0.00210813313269118 0.002335138942287 0.00258158592055257 0.00284953811232052 0.00314207930553294 0.00339748538827196 0.000263331830213611 0.000275765566408114 0.000333338018963466 0.000388552368200908 0.000442660061272751 0.000499345170863326 0.000560122180828483 0.000625870900140648 0.000697208888641388 0.000774623237379256 0.000858528023865103 0.00094929310158176 0.00104726010372595 0.00115275213403473 0.00126608011853247 0.00138754734305911 0.00151745308859529 0.00165609610398705 0.00180377887672057 0.00196081454317546 0.00212754077004987 0.00226816065408152 0.000248238533872881 0.000259009683311145 0.000310084202119087 0.000358492414786728 0.000404452257169795 0.000451110662667343 0.000499754695775406 0.000551118229503718 0.000605703492639858 0.000663896097566842 0.000726015650281224 0.000792341302151619 0.000863126041151844 0.000938605395022358 0.00101900318961745 0.00110453576768965 0.00119541559421764 0.00129185514243541 0.00139407239645106 0.00150230061559917 0.00161680848084188 0.00171316685875357 0.00537786071261958 0.0232510847965906
"CHE-282069" 0.000240156375554874 0.000247994928485821 0.000295493459775964 0.000347621086195898 0.000399890614918836 0.000455669580698622 0.000518234373486815 0.00059185630432259 0.000682554430146472 0.000798995316649214 0.000953750779018135 0.00116514425106709 0.00146000673330691 0.00187780183868255 0.00247676946650801 0.0033429883859637 0.00460358143970366 0.00644569702194348 0.00914341260681194 0.0130953382205364 0.0188764710972103 0.0253602042571436 0.000493599519037949 0.000499780430424878 0.000539768708084507 0.000587810888395291 0.000639979550341032 0.00069953282433397 0.000770001950361322 0.00085599392092664 0.000963769588385224 0.0011019258576461 0.00128232644149186 0.00152144338848718 0.00184234156047882 0.00227764678652728 0.00287398997020344 0.003698623062076 0.00484916993790419 0.0064678191221084 0.00876170114543366 0.012031738627195 0.0167129333438749 0.0218854804565531 0.00023817722438411 0.000244178255335223 0.000277095994057641 0.000309870152013924 0.000340548412891921 0.000371102398521646 0.000402636326005801 0.000436083710153627 0.000472408359253846 0.000512696646406321 0.000558216457068665 0.000610464903410837 0.0006712131356472 0.00074255210824985 0.000826941480149279 0.000927263143729595 0.00104688059510784 0.00118970525700433 0.00136027085696498 0.0015638170157121 0.00180638332048997 0.00203316491942369 0.000492126521902763 0.000496947790257388 0.000526234147302776 0.000560028893388278 0.000595885988134029 0.000635507164707426 0.000680111692438696 0.000730939749325876 0.000789431170555977 0.000857342092263668 0.000936849740014484 0.00103065977373366 0.00114212150348736 0.00127535340229671 0.00143538029706449 0.00162828321998076 0.00186136276132602 0.00214331673823291 0.00248443302865847 0.00289679850194784 0.00339452513217909 0.00386509212017071 0.0273087975225148 0.0355978271851593
"CHE-274427" 0.000238068794040273 0.000244640619821897 0.000291274828707242 0.000360155290688182 0.000449208793019364 0.000563809859213151 0.000709579989412444 0.000893044374801675 0.00112205633354001 0.0014063473609382 0.00175837652899433 0.00219467268531792 0.00273792722692068 0.00342018571293847 0.0042876018519969 0.0054073594613604 0.00687753983342299 0.00884091699897414 0.0115039054729418 0.0151621686569796 0.0202347272052345 0.0256986160760687 0.000213570814575292 0.000224309802662159 0.000287313527003861 0.000362716357800488 0.000448831972977403 0.000551468304612669 0.000675504835277547 0.000826245151157137 0.00101003417042961 0.00123487707436291 0.00151129581513283 0.00185361747919318 0.00228192896089213 0.00282500548812808 0.00352461848894808 0.00444175112189749 0.00566539972741089 0.00732481953207032 0.00960628672159468 0.0127757007869517 0.0172086470982364 0.0220111385259133 0.00023748071819846 0.000243181532841276 0.000276534714523198 0.000313707963883657 0.000351986816546695 0.000392969753174427 0.000437510693127528 0.000486278174519077 0.000539901399372893 0.00059902805616043 0.000664354973588192 0.000736648827673627 0.000816763062790232 0.000905653641965477 0.00100439490761411 0.00111419627033081 0.0012364201845338 0.00137260174507872 0.00152447018127839 0.00169397251036885 0.00188329964838947 0.00205068093549448 0.000213117331251926 0.00022317077894447 0.000275858996238334 0.000327499218700016 0.000376690622767908 0.000427013465979357 0.000480418192299918 0.000538495109302082 0.000602828083336927 0.000675145750776688 0.000757407410029753 0.000851863011743439 0.000961101535275184 0.00108809383632982 0.00123623290425286 0.00140937310973088 0.00161186938334436 0.00184861694397333 0.00212509203190131 0.00244739403018799 0.00282228937396464 0.00316507405415971 0.0273087975225148 0.0355978271851593
"CHE-373214" 0.000245493883552869 0.000258170535293654 0.000361633664142782 0.000522500921786925 0.00072342909258004 0.000967483583968554 0.0012589841234522 0.00160400048259181 0.00201079541083197 0.00249039151079727 0.00305729828478894 0.00373043285242521 0.00453427893230993 0.00550034329461185 0.00666898632380697 0.00809172403235063 0.0098341234688236 0.0119794426991085 0.0146332012843197 0.0179289085357687 0.0220352262145349 0.0260451338037677 0.000571227711247621 0.000582575691860237 0.000681819326874983 0.000831547172900731 0.00101120119770418 0.00122335454925256 0.0014720219615324 0.00176291631073769 0.00210394972493993 0.00250597185419341 0.00298378210286842 0.00355748127176029 0.00425425227398026 0.0051106847357528 0.00617578646314944 0.0075148570218154 0.0092144358226447 0.0113885798949125 0.0141867758345086 0.0178038473232181 0.0224922855165633 0.0272301901076751 0.000230069578534465 0.000232485708944786 0.000255176444279745 0.000291210484852786 0.000335045841035426 0.000386505871855089 0.000445683233530285 0.00051281395699681 0.000588225429742512 0.00067231036326141 0.000765512119706147 0.000868315762837518 0.000981242301611221 0.00110484485756011 0.00123970606562538 0.00138643630802034 0.00154567253673407 0.00171807752932794 0.00190433947619838 0.0021051718313469 0.00232131338151256 0.00250576203440562 0.000562522587121416 0.000565758203150159 0.000590318676591899 0.00062220727562362 0.000656929210856538 0.000695155491290196 0.000737387006232904 0.00078407253100796 0.0008356407927 0.000892512762086397 0.000955107414934708 0.00102384485066377 0.00109914819133776 0.0011814448653811 0.00127116756242589 0.00136875500715243 0.001474652634101 0.00158931321200449 0.00171319744858983 0.00184677459773396 0.0019905230871721 0.00211317301140819 0.0271649016167941 0.0330035398450458
"CHE-281186" 0.000286405975729986 0.000311361574875003 0.000430926687918675 0.00053530186179309 0.000623798813685941 0.000704122527613019 0.00077935627799998 0.000851175976653287 0.00092069974211243 0.000988832399591851 0.00105646437331758 0.0011246369205046 0.00119472764525222 0.00126869852336122 0.00134945370110701 0.00144136884768595 0.00155107642452644 0.00168862241427798 0.00186915121207929 0.00211532843215278 0.0024607787152034 0.00284112253375378 0.000334358452713307 0.000347812601230934 0.000413824037769449 0.000472217732224662 0.000521998094457715 0.000567383169343817 0.000610113683604367 0.000651188036062607 0.000691334696495427 0.000731215759828011 0.000771556709643242 0.000813265156665103 0.000857571220821619 0.000906217863245485 0.000961735228686114 0.00102784538946786 0.00111006249299462 0.00121657906764917 0.00135956358026035 0.00155703913229774 0.00183557076320621 0.00214235926386198 0.000274640291102433 0.00029188107661673 0.00036611676931527 0.00042475305908359 0.000471824808207792 0.00051301875587912 0.000550539175961371 0.000585532648362073 0.000618701632903277 0.000650529283246832 0.000681380962595739 0.000711557262330365 0.000741325128644705 0.000770938162795803 0.000800651264012581 0.000830732266535573 0.000861472047393796 0.000893193994836838 0.000926263419498668 0.000961097324154918 0.000998174859348936 0.00102982094614951 0.000325097273179727 0.000332757867418731 0.000365949393112769 0.00039217977230298 0.000413270157894358 0.000431821021336227 0.000448867928691505 0.000464974815935809 0.000480514440702741 0.000495774096784155 0.000511006385394883 0.000526458974877202 0.000542395501285421 0.000559112722221628 0.000576956359958864 0.000596336926272265 0.000617746288321253 0.000641775470126902 0.000669134047270026 0.00070067142140092 0.000737400228236292 0.000771321559274243 0.00295490038147516 0.0193126855024362
"CHE-295159" 0.000230325332947939 0.000232969817483898 0.000256625424509463 0.000292617972098171 0.000336329692333236 0.000389021137105863 0.000452487692283023 0.000529147053612594 0.000622272248649804 0.000736388213371568 0.00087789972958431 0.00105606354451958 0.0012844776707419 0.00158335097667098 0.00198296255601084 0.00252898868253658 0.00329095397930202 0.00437653034310088 0.00595858780310408 0.00833474627488186 0.0120816129571231 0.01690275203081 0.000595669719445126 0.000598768133367336 0.000623363027612997 0.000657666555855798 0.000697695127065583 0.000744909249848046 0.000801080914686286 0.000868550827930608 0.000950513523952326 0.00105142565114994 0.0011776196502209 0.00133823987561371 0.0015466811939275 0.00182281376981474 0.00219645794968376 0.00271292314884779 0.00344220238949189 0.00449536373618091 0.00605702663511196 0.00845862362545927 0.0123691115906021 0.017588601022761 0.000229942290601534 0.000232042046033263 0.000248916699956639 0.0002722811273129 0.000299114811805227 0.000330256166910178 0.00036668654428372 0.000409603281207827 0.000460478732648796 0.000521123952267475 0.000593760410664435 0.000681101692886313 0.000786447879103982 0.000913797579321476 0.0010679877215152 0.00125488287147088 0.00148166270712673 0.00175731808289481 0.0020936094220509 0.00250708301672921 0.00302361501373101 0.00354088737534446 0.000595621019648968 0.000598629695654973 0.000621583847519683 0.000651812263613493 0.000685325078094564 0.000723049562639218 0.000765917302609167 0.000815005511831058 0.000871603522279802 0.000937266532676736 0.00101387008938934 0.0011036714326878 0.00120938401595497 0.0013342756252114 0.00148231029769103 0.00165837527069492 0.00186867902136688 0.00212150247458908 0.00242869493140542 0.00280878435897702 0.00329376840488159 0.00379681182610061 0.0185259561724603 0.0689141730129047
"CHE-361800" 0.00023193020392844 0.000235446211774247 0.000259502811333793 0.000286536497078057 0.000312254215226969 0.000337228593662792 0.000361711984807066 0.000385846503726857 0.000409723495358537 0.00043340690521896 0.00045694430492605 0.000480372755653797 0.000503722205183282 0.000527017587864615 0.000550280191408915 0.000573528586037561 0.000596779282434346 0.000620047219628066 0.000643346151029299 0.00066668898303647 0.000690088121101625 0.000708856244945005 0.000850592729464795 0.000851758487504724 0.000861073537878167 0.000872887627264842 0.000884931300296605 0.000897213454188738 0.000909739027420249 0.000922512259173801 0.000935537334403282 0.000948818554429477 0.000962360384371059 0.000976167462903261 0.000990244600106775 0.00100459677243847 0.00101922911868932 0.00103414693949098 0.00104935570342922 0.00106486106477978 0.001080668901741 0.00109678539088645 0.00111321714535262 0.00112659441212358 0.000230907314203389 0.000233370976320535 0.000248759125206409 0.000264683144122696 0.000279107147754878 0.000292640836357462 0.000305552522793807 0.000317992305197343 0.0003300555570823 0.000341807968918848 0.000353297397423412 0.000364560183622411 0.000375624821641256 0.000386514230720433 0.000397247235093742 0.000407839568095017 0.000418304577005905 0.000428653732493481 0.000438897006598925 0.000449043160375872 0.000459099968768511 0.000467085793978884 0.000849636510175235 0.000849817007577411 0.000850961653020421 0.000852168505008155 0.000853278664769393 0.000854334714947114 0.000855355498019974 0.000856351657542426 0.00085733004919108 0.000858295477738455 0.000859251518039152 0.000860200952492611 0.000861146025049006 0.000862088598648814 0.000863030258062639 0.000863972380171044 0.000864916184134029 0.000865862769028749 0.000866813144027166 0.000867768254996737 0.000868729011072315 0.000869502286392022 0.000713555893304638 0.00399929590720734
