"Barbatula.quignardi" "Alburnus.alburnus" "Cyprinus.carpio" "Sander.lucioperca" "Scardinius.erythrophthalmus" "Oncorhynchus.mykiss" "Silurus.glanis" "Carassius.auratus" "Lepomis.gibbosus" "Micropterus.salmoides" "Gambusia.holbrooki" "Barbatula.barbatula" "Gobio.gobio" "Esox.lucius" "Tinca.tinca" "Ameiurus.melas"
"CHE-373605" 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"CHE-362099" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-373534" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-297571" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-282069" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-274427" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-373214" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-281186" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-295159" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-361800" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-281173" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-364587" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-360340" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-274595" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-389580" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-282775" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-297388" 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"CHE-297899" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-274327" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-282626" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-297365" 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"CHE-274206" 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"CHE-280936" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-295852" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-360317" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-297236" 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"CHE-281913" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-371131" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-274168" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-274162" 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"CHE-372384" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
