"Salmo.trutta" "Phoxinus.phoxinus" "Parachondrostoma.miegii" "Luciobarbus.graellsii" "Salaria.fluviatilis" "Cobitis.calderoni" "Barbus.haasi" "Gobio.lozanoi" "Phoxinus.bigerri" "Achondrostoma.arcasii" "Squalius.laietanus" "Anguilla.anguilla" "Cobitis.paludica"
"CHE-373605" 1 1 1 1 1 1 0 0 0 0 0 0 0
"CHE-362099" 1 1 0 0 0 0 0 0 0 0 0 0 0
"CHE-373534" 1 1 0 0 0 1 1 0 0 0 0 0 0
"CHE-297571" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-282069" 1 1 0 0 0 0 0 0 0 0 0 0 0
"CHE-274427" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-373214" 1 0 0 1 0 0 1 1 1 0 0 0 0
"CHE-281186" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-295159" 1 1 0 0 0 0 0 0 0 1 0 0 0
"CHE-361800" 1 1 1 0 0 0 0 0 0 0 0 0 0
"CHE-281173" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-364587" 1 1 1 1 0 0 0 0 0 0 0 0 0
"CHE-360340" 1 1 0 0 0 0 0 0 0 0 1 0 0
"CHE-274595" 1 1 0 0 0 0 0 0 0 0 0 0 0
"CHE-389580" 1 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-282775" 1 1 1 0 0 0 0 0 0 0 0 0 0
"CHE-297388" 1 1 0 0 0 0 1 0 0 0 0 0 0
"CHE-297899" 1 1 1 0 0 0 0 0 0 0 0 0 0
"CHE-274327" 1 1 1 1 0 0 0 0 0 0 0 0 0
"CHE-282626" 1 1 1 0 0 0 0 0 0 1 0 0 0
"CHE-297365" 1 1 1 1 0 0 1 0 0 0 0 0 0
"CHE-274206" 1 1 1 1 0 0 0 0 0 0 0 0 0
"CHE-280936" 1 1 1 1 0 0 0 0 0 0 0 0 0
"CHE-295852" 1 1 0 0 0 0 0 0 1 0 0 0 0
"CHE-360317" 1 1 1 0 0 0 0 0 0 0 0 0 0
"CHE-297236" 1 1 1 1 0 0 0 0 0 0 0 0 0
"CHE-281913" 1 1 0 0 0 0 0 0 0 0 0 0 0
"CHE-371131" 0 1 1 0 0 0 0 0 0 1 0 0 0
"CHE-274168" 1 1 1 1 0 0 0 0 0 0 0 0 0
"CHE-274162" 1 1 1 1 0 0 0 0 0 0 0 0 0
"CHE-372384" 1 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-282622" 1 1 1 0 0 0 0 0 0 1 0 0 0
"CHE-281762" 1 1 1 0 0 0 0 0 0 0 0 0 0
"CHE-275604" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-282284" 1 1 1 1 0 0 0 0 0 0 0 0 0
"CHE-280745" 1 1 1 0 0 0 0 0 0 0 0 0 0
"CHE-282333" 1 1 1 1 0 0 0 0 0 0 0 0 0
"CHE-274025" 1 1 1 1 0 0 0 0 0 0 0 0 0
"CHE-364448" 1 0 1 0 0 0 0 0 1 0 0 0 0
"CHE-302423" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-362413" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-372352" 0 1 0 1 0 1 0 0 0 0 0 0 0
"CHE-361711" 1 1 1 1 0 0 0 0 0 1 0 1 0
"CHE-292556" 1 1 0 0 0 0 0 0 0 0 0 0 0
"CHE-292142" 1 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-275184" 1 1 1 1 0 0 0 0 0 0 0 0 0
"CHE-274908" 0 1 1 1 0 1 0 0 0 0 0 0 0
"CHE-275022" 1 1 1 1 0 0 0 0 0 0 0 0 0
"CHE-275419" 0 0 1 1 0 1 0 0 0 0 0 0 0
"CHE-295562" 1 1 1 1 0 0 1 0 0 0 0 0 0
"CHE-296774" 1 1 1 1 0 0 1 0 0 0 0 0 0
"CHE-370908" 0 1 1 1 0 0 0 0 0 0 1 0 0
"CHE-276381" 1 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-274818" 0 1 1 1 0 0 0 0 0 0 0 0 0
"CHE-275591" 0 0 1 1 0 0 0 0 0 0 0 0 0
"CHE-367416" 1 1 1 0 0 0 1 0 0 0 0 0 0
"CHE-360207" 0 1 0 0 0 0 0 1 0 0 0 0 0
"CHE-281617" 1 1 1 1 0 0 0 0 0 0 0 0 0
"CHE-362287" 1 1 1 0 0 0 0 0 0 0 0 0 0
"CHE-302238" 1 1 0 0 0 0 0 0 0 0 0 0 0
"CHE-362705" 1 1 1 0 0 0 0 0 0 1 0 0 0
"CHE-364227" 1 0 1 0 0 0 0 0 1 0 0 0 0
"CHE-280500" 1 1 1 1 0 0 0 0 0 0 0 0 0
"CHE-276104" 0 0 1 1 0 0 0 0 0 0 0 0 0
"CHE-388261" 1 0 0 1 0 0 0 1 1 0 0 0 0
"CHE-302061" 1 0 0 0 0 0 1 0 1 0 0 0 0
"CHE-301946" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-364127" 1 1 1 1 0 0 0 0 0 0 0 1 0
"CHE-362928" 1 1 1 1 0 0 0 0 0 0 0 1 0
"CHE-304862" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-296647" 1 1 0 0 0 0 0 0 0 0 0 0 0
"CHE-291906" 1 1 1 0 0 0 0 0 0 0 0 0 0
