"Sediment_type" "Geomorph_type" "Landuse" "order" "cond" "temp" "Elevation" "Depth" "FR" "AGR" "UR"
"PL02S0101_0326" "Silt/clay" "Naturally straight  " "Meadow" 8 559.3 18.3 -0.8 "100" 0.173913043478261 0.826086956521739 0
"PL02S0101_0419" "Sand" "Meandering regularly " "Barren" 3 333 17 80 "60" 0.862928348909657 0.137071651090343 0
"PL02S0101_0420" "Sand" "Meandering regularly " "Urban" 2 333 17 76 "50" 0.872274143302181 0.127725856697819 0
"PL02S0101_0450" "Sand" "Naturally straight  " "Barren" 2 268.7 18 150 "30" 0.175 0.20625 0.61875
"PL02S0101_0490" "Sand" "Meandering regularly " "Urban" 3 388 18.5 32 "40" 0.748427672955975 0.251572327044025 0
"PL02S0101_0491" "Sand" "Sinusoidal " "Meadow" 4 447 18.5 19.5 "80" 0.121875 0.74375 0.134375
"PL02S0101_0493" "Sand" "Meandering regularly " "Barren" 5 618 18.2 2.4 "70" 0.636363636363636 0.363636363636364 0
"PL02S0101_0494" "Sand" "Sinusoidal " "Field" 4 420 18.4 20.4 "60" 0.0833333333333333 0.731481481481482 0.185185185185185
"PL02S0101_0495" "Sand" "Naturally straight  " "Meadow" 3 407 18.6 21.6 "30" 0 0.87962962962963 0.12037037037037
"PL02S0101_0566" "Sand" "Sinusoidal " "Meadow" 4 371 18.2 86.7 "40" 0.662538699690402 0.337461300309598 0
"PL02S0101_0567" "Sand" "Sinusoidal " "Barren" 3 362 18 98 "50" 0.495297805642633 0.360501567398119 0.144200626959248
"PL02S0101_0571" "Sand" "Sinusoidal " "Meadow" 2 387 18.2 82 "20" 0.85981308411215 0.14018691588785 0
"PL02S0101_0573" "Sand" "Naturally straight  " "Urban" 2 350 18 115.5 "20" 0.96875 0.03125 0
"PL02S0101_0574" "Sand" "Meandering regularly " "Field" 4 333 17 73 "50" 1 0 0
"PL02S0101_0576" "Gravel/ small stones" "Meandering regularly " "Meadow" 3 333 17 76 "30" 0.965625 0.034375 0
"PL02S0101_1519" "Sand" "Meandering regularly " "Barren" 3 298.4 18 136 "67" 0.623052959501558 0.292834890965732 0.0841121495327103
"PL02S0101_1521" "Sand" "Sinusoidal " "Forest" 3 378 18.3 50 "30" 0.357366771159875 0.570532915360502 0.0721003134796238
"PL02S0101_1554" "Sand" "Sinusoidal " "Forest" 2 446 18.7 33 "30" 0.41692789968652 0.557993730407524 0.0250783699059561
"PL02S0101_3054" "Sand" "Sinusoidal " "Meadow" 3 288 18 125 "70" 0.975077881619938 0.0249221183800623 0
"PL02S0101_3154" "Sand" "Sinusoidal " "Field" 3 312 18 116 "20" 1 0 0
"PL02S0101_3156" "Sand" "Sinusoidal " "Field" 3 327 17.8 127 "30" 0.328125 0.4875 0.184375
"PL02S0101_3317" "Sand" "Sinusoidal " "Forest" 4 428 18.6 27 "120" 0.49375 0.50625 0
"PL02S0101_3382" "Sand" "Sinusoidal " "Field" 2 458 18.1 106 "10" 0.173501577287066 0.760252365930599 0.0662460567823344
"PL02S0201_0585" "Sand" "Sinusoidal " "Meadow" 3 428.9 18 108 "97" 0.694704049844237 0.258566978193146 0.0467289719626168
"PL02S0201_3338" "Sand" "Sinusoidal " "Meadow" 2 332 18 143 "44" 0.993769470404984 0.00623052959501558 0
"PL02S0401_0602" "Sand" "Sinusoidal " "Urban" 6 745 18.1 61.6 "210" 0.421875 0.225 0.353125
"PL02S0401_0616" "Sand" "Sinusoidal " "Meadow" 3 310 18.1 44.3 "80" 1 0 0
"PL02S0401_0638" "Sand" "Sinusoidal " "Forest" 7 727 17.9 34.6 "210" 0.404984423676012 0.501557632398754 0.0934579439252336
"PL02S0401_0661" "Sand" "Sinusoidal " "Meadow" 7 670 18 12.2 "180" 0.296875 0.428125 0.275
"PL02S0401_0662" "Sand" "Sinusoidal " "Forest" 3 388 17.9 30.9 "80" 0.078125 0.921875 0
"PL02S0401_0664" "Sand" "Meandering regularly " "Urban" 7 472 18.3 23 "68" 0.43613707165109 0.56386292834891 0
"PL02S0401_0665" "Sand" "Meandering regularly " "Urban" 3 373 18.3 25 "63" 0.39937106918239 0.531446540880503 0.0691823899371069
"PL02S0401_0666" "Sand" "Naturally straight  " "Urban" 2 770 18.3 25.5 "130" 0.425465838509317 0.574534161490683 0
"PL02S0401_0669" "Gravel/ small stones" "Sinusoidal " "Forest" 5 630 18.3 24 "140" 0.15 0.85 0
"PL02S0401_0677" "Sand" "Naturally straight  " "Meadow" 7 530 18.3 18 "170" 0.0807453416149068 0.813664596273292 0.105590062111801
"PL02S0401_0678" "Silt/clay" "Naturally straight  " "Meadow" 3 655 18.3 23 "180" 0.0590062111801242 0.869565217391304 0.0714285714285714
"PL02S0401_0682" "Sand" "Sinusoidal " "Meadow" 7 565 18 11.8 "120" 0.078125 0.315625 0.60625
