"index_us0.005" "index_us0.01" "index_us0.05" "index_us0.1" "index_us0.15" "index_us0.2" "index_us0.25" "index_us0.3" "index_us0.35" "index_us0.4" "index_us0.45" "index_us0.5" "index_us0.55" "index_us0.6" "index_us0.65" "index_us0.7" "index_us0.75" "index_us0.8" "index_us0.85" "index_us0.9" "index_us0.95" "index_us0.99" "index_ls0.005" "index_ls0.01" "index_ls0.05" "index_ls0.1" "index_ls0.15" "index_ls0.2" "index_ls0.25" "index_ls0.3" "index_ls0.35" "index_ls0.4" "index_ls0.45" "index_ls0.5" "index_ls0.55" "index_ls0.6" "index_ls0.65" "index_ls0.7" "index_ls0.75" "index_ls0.8" "index_ls0.85" "index_ls0.9" "index_ls0.95" "index_ls0.99" "index_ua0.005" "index_ua0.01" "index_ua0.05" "index_ua0.1" "index_ua0.15" "index_ua0.2" "index_ua0.25" "index_ua0.3" "index_ua0.35" "index_ua0.4" "index_ua0.45" "index_ua0.5" "index_ua0.55" "index_ua0.6" "index_ua0.65" "index_ua0.7" "index_ua0.75" "index_ua0.8" "index_ua0.85" "index_ua0.9" "index_ua0.95" "index_ua0.99" "index_la0.005" "index_la0.01" "index_la0.05" "index_la0.1" "index_la0.15" "index_la0.2" "index_la0.25" "index_la0.3" "index_la0.35" "index_la0.4" "index_la0.45" "index_la0.5" "index_la0.55" "index_la0.6" "index_la0.65" "index_la0.7" "index_la0.75" "index_la0.8" "index_la0.85" "index_la0.9" "index_la0.95" "index_la0.99" "index_dci_s" "index_dci_a"
"PL02S0101_0326" 0.000550846162299877 0.00057912977574993 0.00069484804977698 0.00080752335324696 0.000927362388705706 0.00106452790184275 0.00122603284734054 0.00141957352736311 0.00165510203572027 0.00194643684195984 0.00231367884633516 0.00278733767913779 0.0034158476475172 0.00427998601619911 0.0055221353737699 0.00741026489635868 0.0104938827655179 0.0160487437035597 0.0276396167710311 0.0582311437662654 0.175862491722781 0.661095677135222 0.000402104400190085 0.000423469282850306 0.0005377040508945 0.000668692563395698 0.000814918326935756 0.000985414744071551 0.00118757900459439 0.00143020681719556 0.00172514213106603 0.00208915407939458 0.00254670752328766 0.00313450179887191 0.00390943884723416 0.00496352779907295 0.00645369224174197 0.00866633353833935 0.0121729929486582 0.0182670342329239 0.0304728980277299 0.0614047867746669 0.177911458259324 0.66137692390964 0.000390515407305073 0.000398172961783241 0.000436385706463182 0.000471045020864655 0.000502274890867195 0.00053313337345302 0.000565296448665363 0.000600141981021966 0.000639058846331205 0.000683580576887891 0.000735460918156629 0.000796725469156174 0.000869711880370194 0.000957103913935219 0.00106196189110545 0.0011877508396174 0.00133836707428926 0.00151816364626931 0.0017319749334754 0.00198514055096927 0.00228352870349452 0.00255909436772114 0.000363738795231674 0.000378949858280848 0.000454776312407873 0.000523306011668119 0.000584640175097279 0.000644531229685279 0.00070575464337351 0.00077021078267632 0.000839490825212346 0.000915096635500843 0.000998547287784894 0.00109143975508839 0.00119548827931543 0.00131255276125338 0.00144466103205518 0.00159402749104097 0.00176306946703168 0.00195442208596581 0.00217095211732867 0.00241577109602545 0.00269224791236574 0.00293865867419492 1 1
"PL02S0101_0419" 0.000761421004308258 0.000797146329953551 0.000928668683656982 0.00103688082159005 0.00114199004516505 0.00125777216170068 0.0013927329183807 0.00155559745447543 0.00175756672395347 0.00201455571378085 0.00235041363516804 0.00280215588688319 0.0034289970873578 0.00432892512732515 0.00567164310830857 0.00777115848857383 0.0112661895533327 0.0176303273990424 0.0308413398751705 0.0641464392050569 0.181108895998261 0.654462212637998 0.00041425407664173 0.000430518344976406 0.000504069480864295 0.000575832376226264 0.000650078087190958 0.000733473440675227 0.00083065770326193 0.000946885200979285 0.00108944166999632 0.00126936256540831 0.00150414943620192 0.00182240109799672 0.0022720407567179 0.00293565952610776 0.00396123167868225 0.00562996933764422 0.00852595470417981 0.0140245872866164 0.0259451027505301 0.0575036525653886 0.174098164676193 0.653683425370425 0.000389342074829076 0.000396956142494066 0.00043987342684656 0.000485643633871848 0.0005319226043706 0.000581598518230462 0.000636651533812423 0.000699032508528558 0.000770967191460198 0.000855177440784788 0.000955138533750842 0.00107545214492589 0.00122244893057422 0.00140523791293619 0.001637663682595 0.00194222554487696 0.00235856266075704 0.00296352387751041 0.00392350482607586 0.00564474759330754 0.0092405305569112 0.0155481813121625 0.000360094080377075 0.000367976390984165 0.000411485380696986 0.000456783911630748 0.000501746486398191 0.000549096410772165 0.000600469795488539 0.000657380286592458 0.000721547748727012 0.000795130789672397 0.000880993890372386 0.000983093318192084 0.00110709743575107 0.00126145687612893 0.00145937972751435 0.00172276623071615 0.00209078278348087 0.00264054031231376 0.00354239933806315 0.00522180786906995 0.00886410175859813 0.015415016218076 1 1
"PL02S0101_0420" 0.000376225531224827 0.000376237820828083 0.000377017662378359 0.000380803182189465 0.000389257593569201 0.000404001892988154 0.000426851331388664 0.000460132302925107 0.000507264547933167 0.000573884259636323 0.000670024416068404 0.000814368832941925 0.00104265847857131 0.00142472976930982 0.00210056016557972 0.0033615744284494 0.00585060487290435 0.0111101870855018 0.0233145748812488 0.0561002399204384 0.173591281411356 0.650537382948621 0.00128550796789348 0.00128551551999649 0.00128612940723674 0.0012895385928517 0.0012977454304628 0.00131272109609113 0.0013366085225353 0.00137200648436588 0.00142248807259515 0.0014935804632548 0.00159462686245926 0.00174236100012056 0.00196791630055586 0.0023310691072419 0.0029507734837452 0.00407564333279138 0.00626287395639642 0.0108890377166644 0.0218434191449104 0.0525208356840032 0.168576686882121 0.65023621911533 0.000376224324655303 0.000376231299433487 0.000376658261067278 0.000378628653471572 0.000382822038295957 0.000389845907829818 0.000400371621836759 0.000415248019096984 0.000435635223094056 0.000463183308837807 0.000500287857035089 0.000550477483279195 0.000619037975021942 0.000714085201698371 0.000848544468092652 0.00104409143743001 0.00133968009529624 0.00181178987884364 0.00262762144194697 0.0041996182991253 0.00767335004244556 0.0139969471993747 0.00128550787025858 0.00128551481397441 0.00128603937697108 0.00128875185142425 0.00129490289918115 0.00130558168019304 0.00132186573417214 0.00134492838550734 0.0013761588900861 0.0014173246675708 0.00147081080627539 0.00153999464894019 0.00162986207893531 0.00174807744173262 0.00190696066508105 0.00212742608863737 0.00244757212779695 0.00294346341761462 0.00378512347798636 0.00540245232852998 0.00901182056915836 0.015655076183816 1 1
"PL02S0101_0450" 0.000376222724648926 0.000376222736449964 0.000376231628614003 0.00037638887103356 0.000377185648244741 0.00037966891045326 0.000385689709918007 0.000398237690392447 0.000421911540165318 0.000463604597934268 0.000533542832888202 0.000646938962667798 0.000826826327899907 0.00110939214519412 0.00155516261104528 0.00227537717361953 0.0035028956985155 0.0058155221434558 0.0109963291898068 0.0264163448676195 0.100720089607731 0.566872719051051 0.00208079501960051 0.00208079502478197 0.00208079900145573 0.00208087247999127 0.00208126072988369 0.00208251597662134 0.0020856609663468 0.00209242008241755 0.00210556459765658 0.00212945250413682 0.00217090824095553 0.00224072211762604 0.00235635397720479 0.00254717368797947 0.00286555150975753 0.00341285484426902 0.00440827712527688 0.00640179085753364 0.011089420861261 0.0255600935394918 0.0983277816671913 0.566849229867649 0.000376222724570703 0.000376222734759803 0.000376229318879128 0.000376333445002758 0.000376817374310845 0.000378224337266157 0.000381442481853349 0.000387819202335706 0.000399321293860934 0.000418764640146137 0.000450152313913266 0.000499189230202427 0.000574100111774974 0.000686999792365211 0.000856334837139804 0.00111156374744091 0.00150299454778123 0.00212521917780594 0.00318352899797723 0.00522957536629403 0.0102277798877014 0.0218272359839556 0.00208079501957784 0.00208079502424545 0.00208079805814895 0.00208084696865576 0.00208107884601652 0.00208176574678693 0.00208336519898311 0.00208659049156531 0.00209251215859175 0.00210270909793709 0.00211950067604663 0.00214631586624582 0.00218830533144771 0.00225340918486109 0.00235433801531343 0.00251253512978464 0.00276688675783233 0.00319541815906916 0.00397938951680268 0.00563947934515649 0.0101392933200291 0.0214525618773635 1 1
"PL02S0101_0490" 0.000832405878979946 0.000886506387998863 0.00111027440527567 0.0013059375489709 0.00148561749334185 0.00166398441669281 0.00184731555053568 0.00204013998716681 0.00224704367475931 0.00247370615941097 0.00272798165827975 0.00302141723714376 0.00337165313107407 0.00380651390143019 0.00437166855410996 0.0051471694589197 0.00629108389072784 0.00818713064725806 0.0121119552467111 0.0244583818360314 0.0969169075292698 0.578820523756731 0.000426466073138604 0.000452642789410309 0.000587614235258149 0.000732607322898426 0.000880839963206374 0.00103897420152615 0.00121123882598405 0.00140204685429422 0.00161694189043526 0.00186346476040672 0.00215236059817188 0.00249948704503366 0.00292898939224034 0.00347884157005896 0.00421121631377193 0.00523413161083735 0.0067545940762576 0.00924217740724007 0.014108118814582 0.0278081707673352 0.100992984090556 0.580312068424956 0.00039146473534675 0.000400529476105901 0.000453700366760311 0.000510374652654971 0.000564874014748257 0.000619331104258062 0.000674931869568481 0.000732739808187752 0.000793927307701516 0.000859894277979166 0.000932370246467791 0.00101353608850303 0.00110618998938912 0.00121398224449698 0.00134174743436173 0.00149596831009796 0.00168541274112445 0.00192199308373287 0.00222190624082525 0.00260712246988486 0.00310730164976541 0.00361653821647175 0.00034904582287734 0.00035701954982758 0.000411000485144055 0.000477895701498882 0.000548034182833908 0.000621941892474556 0.000700064104132709 0.000783164547401781 0.000872480828082591 0.000969863091291172 0.00107793293984099 0.00120027594753397 0.00134167850764308 0.00150842151407893 0.00170864651021879 0.00195281379267511 0.0022542763585719 0.00262999849574752 0.00310145323136824 0.00369573878139497 0.00444696058949071 0.0051893594792165 1 1
"PL02S0101_0491" 0.000662952828122841 0.000708594228073385 0.000875359731250931 0.00101504275215383 0.00115025148323985 0.00129498969146086 0.0014561104654412 0.0016393299853141 0.00185094029149753 0.00209887563255926 0.00239384528446237 0.00275087968925958 0.00319170722771339 0.00374878077613897 0.0044729795283729 0.00545091750134753 0.00685235479828666 0.00909322981071109 0.0135659232140644 0.0271340158923515 0.103232790295691 0.586485519863286 0.00142069916018395 0.00143197923248916 0.00148794930320981 0.00155269826538554 0.00162822250239627 0.00172072790535102 0.00183577380689378 0.00197978014466354 0.00216083807669241 0.00238962449841984 0.00268070250519651 0.00305451974363779 0.00354064005631491 0.00418330131959244 0.00505185609761296 0.00626300027388234 0.00803678802369091 0.0108723943026006 0.0162796571464941 0.03112186319435 0.107651984086906 0.588006374695729 0.000376223860424725 0.000376229323933421 0.000376622982423211 0.000378616635736092 0.000383123863099527 0.000390982850907121 0.000403040294619625 0.000420195184173325 0.000443439254385417 0.000473907128418285 0.000512944997621266 0.000562206104144335 0.000623781640800185 0.000700376337588986 0.000795538776509365 0.000913957296406191 0.00106183318904899 0.0012473437335691 0.00148120846272693 0.00177737289825777 0.00215382483230068 0.00252804970024504 0.00136734350799323 0.0013673466674695 0.00136759475097698 0.0013689768340089 0.00137241976725948 0.00137902084971424 0.00139012956100669 0.00140740599255175 0.00143287558917027 0.00146898772197325 0.00151868341252627 0.00158547723098599 0.00167355859866216 0.00178791811025385 0.00193450494899832 0.00212042195946749 0.00235416545044788 0.00264591731593033 0.00300789758142249 0.00345478600324011 0.00400422186880627 0.00453170588151146 1 1
"PL02S0101_0493" 0.000573300159259716 0.000603464891866321 0.000725743518628179 0.000840218195404587 0.000957221752794395 0.00108703867305393 0.00123636528751487 0.00141238612876873 0.00162428251537161 0.00188448049003618 0.00221016032249294 0.0026253989901033 0.00316454226270077 0.00387811184186335 0.0048445542939018 0.00619728369682582 0.00819793893358368 0.0114761249162563 0.0180202740684661 0.0366476479447949 0.126730195462384 0.613360953781339 0.0018021617088364 0.00181478945087026 0.0018863065067623 0.00197260490984241 0.00206862439301773 0.00217901878200637 0.00230887509853652 0.0024653448345108 0.00265881689982657 0.00290436048950824 0.00322374676090204 0.00364844683474424 0.00422433427804438 0.00501962967870064 0.00613972947380279 0.00775868865424076 0.0101978387311927 0.0141667864892456 0.0217204316473418 0.0414859037774221 0.131327244143324 0.614718868974072 0.000376222746851295 0.00037622294430075 0.00037626482019405 0.000376627623942022 0.000377745515143304 0.000380121363263151 0.000384307147507333 0.000390894307892687 0.00040050772064767 0.00041380150969894 0.000431455936283257 0.000454174982596543 0.000482684411653976 0.000517730169682023 0.000560077044028959 0.000610507517300644 0.000669820775805003 0.00073883184176448 0.000818370806474765 0.000909282146985879 0.00101242411275451 0.00110432893085354 0.00175136875746045 0.00175136885232247 0.00175139025711365 0.00175158133831895 0.0017521808887158 0.00175347095237155 0.00175576499863541 0.00175940199415849 0.00176474266600083 0.00177216688502254 0.00178207171163882 0.00179486987034398 0.00181098851981231 0.00183086823646411 0.00185496215783811 0.00188373524907862 0.00191766366651754 0.00195723419933904 0.00200294377508354 0.00205529901809005 0.00211481585238064 0.00216793808245682 1 1
"PL02S0101_0494" 0.000861724317722713 0.000890388699415101 0.000994086379827976 0.00108777949016181 0.00118437545193901 0.00129176080387801 0.00141407971261127 0.001555308238284 0.00172046983456274 0.00191663201804541 0.00215414144862381 0.00244838955207149 0.00282252622174813 0.00331197224937809 0.00397283694359968 0.00490038589909199 0.00627869187791953 0.00854916990082071 0.0131583120637792 0.0271193979202692 0.104322096277035 0.58818504638856 0.0012614062554366 0.00126950855165044 0.00132198287321455 0.00139371224563641 0.00147824271196504 0.00157814617962045 0.00169643864361165 0.00183726143772788 0.0020065461245029 0.00221298569774654 0.00246952838061638 0.00279571450957168 0.00322142702251859 0.00379320626788341 0.00458578540481373 0.00572596088077218 0.0074513516619188 0.0102918630722192 0.0158174918136518 0.0310425564426921 0.108667449677073 0.589672053265738 0.000376225474746064 0.000376235809364599 0.000376731752938146 0.000378781473193875 0.000382947501332597 0.000389771446334779 0.000399825999970504 0.000413747669555951 0.000432271604968076 0.000456278453572116 0.000486860089973307 0.000525410544372429 0.000573748538449877 0.000634278307977048 0.000710195723418506 0.000805747070857403 0.000926548209151096 0.00107997216859699 0.00127561359885684 0.00152583880849055 0.00184643046501502 0.00216681117997714 0.00121383993825435 0.00121385205084077 0.00121445525092158 0.0012170840132618 0.00122275948168022 0.00123265590518393 0.00124817806773974 0.00127100788718872 0.00130314419657967 0.0013469454675887 0.00140518100313715 0.00148109507359696 0.00157848822284235 0.0017018199921451 0.00185633743774548 0.00204823399129015 0.00228484340573664 0.00257487373105519 0.00292868646835766 0.00335862625501318 0.00387940663534235 0.00437310893968502 1 1
"PL02S0101_0495" 0.000725344442759925 0.000728778811314529 0.000737078168909542 0.000741604631160186 0.000745892726749494 0.000751304305987233 0.000758850137558582 0.000769858847790867 0.000786460157161091 0.000812279154006301 0.000853564446591061 0.000921047237649478 0.00103302018385562 0.0012205456282448 0.00153677210175583 0.00207561770242929 0.0030172756234696 0.00477372457874105 0.00863267254056817 0.0208548409407732 0.092378973369909 0.574614948137109 0.00246013536481757 0.00246021598112133 0.00246110724382952 0.0024646662870149 0.00247225609279303 0.00248503893568862 0.00250430446329235 0.00253179041698365 0.00257015606731347 0.00262375238863912 0.00269989856158162 0.00281101378448527 0.00297822234441958 0.00323761540548835 0.00365171497241215 0.00433254977217243 0.00549596057938013 0.00762301003753704 0.0121188083881955 0.0253029180833914 0.0971013324881449 0.576276713469888 0.000376222723881116 0.000376222724516185 0.000376223728101657 0.00037624672919129 0.000376378353285172 0.000376814269994931 0.000377901611876498 0.000380185965578007 0.000384467125711751 0.000391869418831255 0.000403935519123478 0.00042275724880425 0.000451163025062356 0.000492989560696481 0.000553475336769988 0.000639825434636454 0.000762011733380962 0.000933889437774249 0.00117473059047804 0.00151129782813608 0.00198060735024849 0.00248525377221363 0.00245302081095536 0.0024530208113214 0.0024530214429169 0.00245303719580995 0.00245313530147653 0.00245348883304548 0.00245444734984412 0.00245663170399666 0.00246105868635449 0.00246930187496732 0.00248369664337458 0.00250759976846648 0.00254571752921936 0.00260452071331148 0.00269277066163769 0.00282218749725245 0.00300830012252667 0.0032715275437649 0.00363855271346107 0.00414406348365135 0.00483295055584815 0.00555445039591967 1 1
"PL02S0101_0566" 0.000409637215370963 0.000432590607777388 0.000582772850510222 0.00076704783935593 0.000972783212999039 0.00121277289781726 0.00149930416833099 0.00184680207198523 0.00227342218923667 0.0028028783730872 0.00346710161918264 0.00431053808294747 0.00539765108426956 0.00682701452753215 0.008759845191576 0.0114825036221245 0.0155565002248938 0.0222245404322732 0.0347187329324937 0.0638032814367857 0.165559374347251 0.629587517967733 0.00052632875000675 0.0005391220073452 0.000622643377919647 0.000728799748405911 0.000852756012403463 0.00100411350502565 0.00119336146558183 0.0014336526219639 0.00174215786982638 0.00214179764123998 0.00266382223531612 0.0033519765172904 0.00426971889696391 0.00551367604640306 0.00724063967532161 0.0097261789344754 0.0135046845514436 0.0197513401050103 0.0315463955093202 0.0594579153040488 0.16058800873436 0.629359745889355 0.000378986040284689 0.000381609602551771 0.000403721881805885 0.000436173656773438 0.000475015342207293 0.00052121845869891 0.000575913815962378 0.000640476470391882 0.000716619546928953 0.000806531937263994 0.000913093268415414 0.00104022273539901 0.00119346755841042 0.00138104124779945 0.001615761044667 0.00191893340596871 0.00232889444760664 0.0029220139847897 0.00387152726657724 0.00563659601359443 0.00965070274951532 0.0176273975049472 0.000509698094116075 0.000512525554208214 0.000534925663023447 0.000564997985029022 0.000598492565269615 0.00063624263124713 0.000679202360332877 0.000728579957480709 0.000785957779293264 0.000853451583627171 0.000933944429830949 0.00103145020476065 0.0011517098057396 0.00130322796659402 0.0014992000189663 0.00176138162130807 0.00212863298429807 0.00267813005478389 0.00358580948895984 0.00532487449733611 0.0093998717886328 0.0176781363292202 1 1
