"Abramis.ballerus" "Abramis.bjoerkna" "Abramis.brama" "Alburnoides.bipunctatus" "Alburnus.alburnus" "Aspius.aspius" "Barbatula.barbatula" "Barbus.barbus" "Carassius.carassius" "Carassius.gibelio" "Chondrostoma.nasus" "Cobitis.taenia" "Cottus.gobio" "Cyprinus.carpio" "Esox.lucius" "Eudontomyzon.mariae" "Gobio.gobio" "Gymnocephalus.cernuus" "Lampetra.fluviatilis" "Lampetra.planeri" "Leucaspius.delineatus" "Leuciscus.cephalus" "Leuciscus.idus" "Leuciscus.leuciscus" "Lota.lota" "Misgurnus.fossilis" "Perca.fluviatilis" "Phoxinus.phoxinus" "Pungitius.pungitius" "Rhodeus.amarus" "Romanogobio.vladykovi" "Rutilus.rutilus" "Salmo.trutta.fario" "Salmo.trutta.trutta" "Sander.lucioperca" "Scardinius.erythrophthalmus" "Silurus.glanis" "Thymallus.thymallus" "Tinca.tinca"
"PL02S0101_0326" 0 18 0 0 0 1 0 0 2 0 0 0 0 0 3 0 64 19 0 0 0 39 0 0 0 0 27 0 0 0 0 196 0 0 0 9 0 0 0
"PL02S0101_0419" 0 4 0 0 1 0 6 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 1 0 0 48 0 0 0 0 17 10 0 0 0 0 0 1
"PL02S0101_0420" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0
"PL02S0101_0450" 0 0 0 0 0 0 0 0 0 1 0 7 0 0 2 0 32 1 0 0 0 0 0 0 0 0 12 0 1 0 0 0 0 0 0 0 0 0 12
"PL02S0101_0490" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 28 0 0 0 0 18 0 0 0 0 2 0 0 0 0 1 3 0 0 0 0 0 0
"PL02S0101_0491" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 2 0 0 0 18 0 3 2 0 4 0 0 0 0 63 0 3 0 1 0 0 0
"PL02S0101_0493" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 56 0 0 0 0 21 0 0 0 0 16 0 0 0 0 22 0 2 0 0 0 0 0
"PL02S0101_0494" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 4 0 0 0 0 4 0 2 1 0 2 0 0 0 0 11 1 0 0 0 0 0 0
"PL02S0101_0495" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0
"PL02S0101_0566" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 32 0 0 0 0 27 0 0 1 0 0 0 0 0 0 4 1 0 0 0 0 0 0
