"Pseudorasbora.parva" "Ameiurus.nebulosus" "Gasterosteus.aculeatus"
"PL02S0101_0326" 0 0 1
"PL02S0101_0419" 0 0 0
"PL02S0101_0420" 0 0 1
"PL02S0101_0450" 0 0 1
"PL02S0101_0490" 0 0 0
"PL02S0101_0491" 0 0 0
"PL02S0101_0493" 0 0 0
"PL02S0101_0494" 0 0 0
"PL02S0101_0495" 0 0 1
"PL02S0101_0566" 0 0 0
"PL02S0101_0567" 0 0 0
"PL02S0101_0571" 0 0 0
"PL02S0101_0573" 0 0 0
"PL02S0101_0574" 0 0 0
"PL02S0101_0576" 0 0 0
"PL02S0101_1519" 0 0 0
"PL02S0101_1521" 0 0 0
"PL02S0101_1554" 0 0 0
"PL02S0101_3054" 0 0 0
"PL02S0101_3154" 0 0 0
"PL02S0101_3156" 0 0 0
"PL02S0101_3317" 0 0 0
"PL02S0101_3382" 0 0 0
"PL02S0201_0585" 0 0 0
"PL02S0201_3338" 0 0 1
"PL02S0401_0602" 0 0 1
"PL02S0401_0616" 0 0 1
"PL02S0401_0638" 0 0 1
"PL02S0401_0661" 0 0 0
"PL02S0401_0662" 0 0 1
"PL02S0401_0664" 0 0 1
"PL02S0401_0665" 0 0 0
"PL02S0401_0666" 0 0 0
"PL02S0401_0669" 0 0 0
"PL02S0401_0677" 0 0 0
"PL02S0401_0678" 0 0 0
"PL02S0401_0682" 0 0 0
"PL02S0401_0692" 0 0 1
"PL02S0401_0693" 0 0 0
"PL02S0401_1626" 0 0 0
"PL02S0401_3208" 0 0 0
"PL02S0401_3310" 0 0 0
"PL02S0401_3312" 0 0 0
"PL02S0401_3313" 0 0 0
"PL02S0501_0576" 0 0 0
"PL02S0501_0585" 0 0 0
"PL02S0501_0587" 0 0 0
"PL02S0501_0612" 0 0 0
"PL02S0501_0613" 0 0 0
"PL02S0501_0630" 0 0 0
"PL02S0501_0694" 0 0 0
"PL02S0501_0711" 1 0 0
"PL02S0501_0853" 0 0 0
"PL02S0501_0867" 0 0 1
"PL02S0501_0873" 1 0 0
"PL02S0501_0889" 0 0 0
"PL02S0501_0899" 0 0 0
"PL02S0501_0900" 0 0 0
"PL02S0501_0901" 0 0 0
"PL02S0501_0904" 1 0 1
"PL02S0501_1665" 0 0 0
"PL02S0501_1737" 0 0 0
"PL02S0501_3262" 0 0 1
"PL02S0501_3264" 0 0 1
"PL02S0501_3281" 0 0 0
"PL02S0501_3282" 0 0 0
"PL02S0501_3283" 0 0 0
"PL02S0501_3284" 0 0 0
"PL02S0501_3397" 0 0 0
"PL02S0501_3411" 0 0 0
"PL02S0501_3425" 0 0 0
"PL02S0501_3488" 0 0 0
"PL02S0501_3839" 0 0 0
"PL02S0601_0923" 0 0 0
"PL02S0601_0931" 0 0 1
"PL02S0601_0935" 0 0 0
"PL02S0601_3238" 0 0 0
"PL02S0601_3239" 0 0 0
"PL02S0601_3460" 0 0 0
"PL02S0601_3461" 0 0 0
"PL02S0901_0945" 0 0 0
"PL02S0901_0948" 0 0 0
"PL02S0901_0957" 1 0 1
"PL02S0901_0989" 0 0 0
"PL02S0901_0994" 0 0 0
"PL02S0901_3212" 0 0 0
"PL02S0901_3213" 0 0 0
"PL02S0901_3214" 0 0 0
"PL02S1201_0201" 1 0 0
"PL02S1201_0204" 1 0 0
"PL02S1201_0206" 1 1 0
"PL02S1201_1054" 0 0 0
"PL02S1201_1055" 0 0 0
"PL02S1201_1056" 0 0 0
"PL02S1201_1072" 0 0 1
"PL02S1201_1087" 0 0 0
"PL02S1201_1101" 0 0 0
"PL02S1201_3114" 0 0 0
"PL02S1301_1124" 0 0 0
"PL02S1301_1127" 0 0 0
"PL02S1301_1135" 1 0 0
"PL02S1301_1137" 1 0 0
"PL02S1301_1140" 0 0 0
"PL02S1301_1196" 0 0 0
"PL02S1301_1198" 0 0 0
"PL02S1301_1199" 0 0 0
"PL02S1301_1200" 0 0 0
"PL02S1301_1203" 0 0 0
"PL02S1301_1211" 0 0 0
"PL02S1301_1214" 0 0 0
"PL02S1301_3194" 0 0 0
"PL02S1301_3503" 1 0 0
"PL02S1301_3514" 0 0 0
"PL02S1301_3838" 0 0 0
"PL02S1401_0417" 1 0 1
"PL02S1401_0420" 0 0 0
"PL02S1401_0432" 0 0 0
"PL02S1401_0462" 1 0 1
"PL02S1401_0507" 0 0 1
"PL02S1401_0516" 0 0 0
"PL02S1401_0517" 0 0 0
"PL02S1401_0520" 0 0 0
"PL02S1401_0521" 0 0 0
"PL02S1401_0524" 0 0 0
"PL02S1401_0530" 0 0 0
"PL02S1401_0540" 0 0 0
"PL02S1401_0543" 0 0 0
"PL02S1401_0546" 0 0 0
"PL02S1401_0557" 0 0 0
"PL02S1401_0558" 0 0 0
"PL02S1401_0561" 0 0 0
"PL02S1401_0563" 1 0 1
"PL02S1401_0572" 0 0 1
"PL02S1401_0573" 1 0 1
