"Abramis.ballerus" "Abramis.bjoerkna" "Abramis.brama" "Alburnoides.bipunctatus" "Alburnus.alburnus" "Aspius.aspius" "Barbatula.barbatula" "Barbus.barbus" "Carassius.carassius" "Carassius.gibelio" "Chondrostoma.nasus" "Cobitis.taenia" "Cottus.gobio" "Cyprinus.carpio" "Esox.lucius" "Eudontomyzon.mariae" "Gobio.gobio" "Gymnocephalus.cernuus" "Lampetra.fluviatilis" "Lampetra.planeri" "Leucaspius.delineatus" "Leuciscus.cephalus" "Leuciscus.idus" "Leuciscus.leuciscus" "Lota.lota" "Misgurnus.fossilis" "Perca.fluviatilis" "Phoxinus.phoxinus" "Pungitius.pungitius" "Rhodeus.amarus" "Romanogobio.vladykovi" "Rutilus.rutilus" "Salmo.trutta.fario" "Salmo.trutta.trutta" "Sander.lucioperca" "Scardinius.erythrophthalmus" "Silurus.glanis" "Thymallus.thymallus" "Tinca.tinca"
"PL02S0101_0326" 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0
"PL02S0101_0419" 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0
"PL02S0101_0420" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"PL02S0101_0450" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1
"PL02S0101_0490" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0
"PL02S0101_0491" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 1 1 0 1 0 0 0 0 1 0 1 0 0 0 0 0
"PL02S0101_0493" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0
"PL02S0101_0494" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0
"PL02S0101_0495" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"PL02S0101_0566" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
